evaluations raw_y
1 4.2383900929
7 4.6783625731
8 4.8035087719
14 5.2469635628
16 16.2192982456
102 24.3289473684
2066 32.4385964912
2069 35.5263157895
2146 48.6578947368
2263 101.8947368421
5000 24.3289473684
evaluations raw_y
1 6.7929824561
5 48.6578947368
2377 53.2894736842
4110 101.8947368421
5000 8.0058479532
evaluations raw_y
1 3.5818713450
2 4.2631578947
3 8.8468899522
22 9.7315789474
30 11.0592105263
123 18.5684210526
382 19.3771929825
398 26.6447368421
1846 37.1228070175
2465 48.6578947368
4482 53.2894736842
4611 101.8947368421
5000 8.4401913876
evaluations raw_y
1 5.0032894737
3 6.2009569378
6 6.4777327935
9 6.5502392344
13 8.4210526316
25 12.6390977444
49 14.5563909774
76 16.2192982456
87 16.8421052632
355 26.6447368421
364 33.9649122807
2258 48.6578947368
4095 53.2894736842
4453 101.8947368421
5000 8.0058479532
evaluations raw_y
1 4.2982456140
3 8.4444444444
23 8.8947368421
46 13.3421052632
67 17.7631578947
222 24.3289473684
2033 26.6447368421
2087 30.9473684211
2137 48.6578947368
2276 53.2894736842
2822 101.8947368421
5000 8.0430622010
evaluations raw_y
1 12.6390977444
70 20.3789473684
414 24.3289473684
2017 48.6578947368
2845 101.8947368421
5000 24.3289473684
evaluations raw_y
1 3.5822368421
4 4.8035087719
11 7.6555023923
15 16.2192982456
217 18.5684210526
348 24.3289473684
1468 30.9473684211
2144 101.8947368421
5000 33.9649122807
evaluations raw_y
1 8.0430622010
10 8.4401913876
12 14.7456140351
59 22.2736842105
354 24.3289473684
2077 30.9473684211
2325 53.2894736842
3844 101.8947368421
5000 8.4210526316
evaluations raw_y
1 2.8657894737
3 7.6000000000
7 7.6555023923
11 13.2631578947
22 20.3789473684
115 22.1184210526
1022 26.6447368421
1821 33.9649122807
2042 48.6578947368
2390 53.2894736842
4034 101.8947368421
5000 7.6555023923
evaluations raw_y
1 3.7894736842
2 5.7180451128
12 6.8056680162
13 16.2192982456
14 16.9824561404
90 17.7631578947
141 22.1184210526
503 22.2736842105
942 32.4385964912
2157 37.1228070175
2378 48.6578947368
2601 101.8947368421
5000 8.4210526316
