evaluations raw_y
1 45.0000000000
2 46.0000000000
3 53.0000000000
6 54.0000000000
7 57.0000000000
32 60.0000000000
103 62.0000000000
193 63.0000000000
327 65.0000000000
520 67.0000000000
2002 68.0000000000
2166 72.0000000000
2259 74.0000000000
4053 76.0000000000
4105 77.0000000000
4543 78.0000000000
4629 80.0000000000
6286 81.0000000000
6471 83.0000000000
8019 85.0000000000
8428 86.0000000000
10011 87.0000000000
10065 88.0000000000
10373 89.0000000000
10852 91.0000000000
12192 93.0000000000
12700 96.0000000000
14541 97.0000000000
16046 98.0000000000
16730 99.0000000000
20324 100.0000000000
21000 93.0000000000
evaluations raw_y
1 47.0000000000
2 53.0000000000
8 57.0000000000
11 58.0000000000
46 59.0000000000
52 61.0000000000
103 62.0000000000
235 64.0000000000
332 68.0000000000
2047 69.0000000000
2256 70.0000000000
2499 72.0000000000
3000 50.0000000000
