evaluations raw_y
1 36.9717307836
2 66.2974864592
3 88.7757468555
6 91.4748458008
10 99.4386829875
83 99.6607760753
221 99.7032694473
418 99.8859928489
620 99.9010477774
1000 85.2314335440
evaluations raw_y
1 45.9274836668
2 64.7418013013
3 76.5430503500
17 78.4800518720
21 95.2165902854
84 97.4625805124
94 98.0726574209
159 99.1653735708
288 99.4920125273
446 99.9447185659
1000 3.7356804360
evaluations raw_y
1 89.4628301113
3 98.4546022683
28 98.5827244906
57 99.5717101164
141 99.9365492539
1000 63.3670995062
evaluations raw_y
1 29.9149956731
3 75.3359656332
8 80.1492845450
15 96.6868948727
27 99.5268369808
148 99.5881884158
338 99.9355733694
1000 46.7806695582
evaluations raw_y
1 42.8065123339
2 50.3787949408
3 89.0265330051
8 98.5404697898
34 99.7116415490
251 99.9798759457
1000 56.0224121659
evaluations raw_y
1 45.1513030830
3 55.8906293871
4 96.9477683818
54 99.5392495118
170 99.9055819487
637 99.9228127351
906 99.9851948639
1000 93.8812580547
evaluations raw_y
1 45.8191694532
2 67.2141966573
6 97.0620572398
25 98.2933720805
45 99.2369723968
110 99.7864120435
779 99.7922658850
1000 89.1058889490
evaluations raw_y
1 57.9490009472
2 87.0780008545
12 97.3656536308
51 99.8311959035
485 99.9919462634
1000 43.3400991040
evaluations raw_y
1 8.6918675249
2 83.2687954274
10 86.0384288841
24 87.1964949807
26 95.2203841126
36 96.4702257825
69 96.8543065675
121 99.0780168451
213 99.8393192575
587 99.9461817596
1000 94.8848155258
evaluations raw_y
1 17.6250651726
3 60.3499484223
6 84.0611437482
11 90.4616935822
19 94.7076499436
53 99.7166055090
67 99.9507441836
350 99.9899535944
1000 92.8054795638
